step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
803,9,11.81,0.0,0,Low,Medium,Medium
804,9,11.74,0.0,1,Low,Medium,Low
805,9,12.02,0.0,0,Low,Medium,Medium
806,9,12.59,0.0,0,Low,Medium,Medium
807,9,14.08,0.0,0,Low,Medium,Medium
808,8,14.96,0.0,0,Low,Medium,Medium
809,8,15.49,0.0,0,Low,Low,Medium
810,8,12.91,0.0,1,Low,Medium,Medium
811,8,14.1,0.0,0,Low,Medium,Low
812,8,14.85,0.0,0,Low,Medium,Low
813,9,12.56,0.0,2,Low,Medium,Low
814,9,13.7,0.0,0,Low,Medium,Medium
815,8,14.75,0.0,0,Low,Medium,Medium
816,8,15.47,0.0,0,Low,Low,Medium
817,8,15.86,0.0,0,Low,Low,Medium
818,7,17.45,0.0,0,Low,Low,Medium
819,9,14.01,0.0,2,Low,Medium,Medium
820,9,13.97,0.0,0,Low,Medium,Low
821,9,14.42,0.0,0,Low,Medium,Medium
822,10,13.42,0.0,1,Low,Medium,Low
823,10,14.3,0.0,0,Low,Medium,Medium
824,10,14.99,0.0,0,Low,Medium,Medium
825,9,15.91,0.0,0,Low,Low,Medium
